Year,Minister,Speech,,,,,
2011-12,Pranab Mukherjee,"As Hon'ble Members are aware, the Direct Taxes Code Bill was introduced in Parliament in August, 2010.  After receiving the report of the Standing Committee, we shall be able to finalise the Code for its enactment during",,,,,
2011-12,Pranab Mukherjee,"2011-12. This has been a pioneering effort in participative legislation.  The Code is proposed to be effective from April 1, 2012 to allow taxpayers, practitioners and administrators to fully understand the legislation and adjust to the revised procedures.",,,,,
2011-12,Pranab Mukherjee,"Unlike DTC, decisions on the GST have to be taken in concert with the States with whom our dialogue has made considerable progress in the last four years. Areas of divergence have been narrowed. As a step towards the roll-out of GST, I propose to introduce the Constitution Amendment Bill in this session of Parliament. Work is also underway on drafting of the model legislation for the Central and State GST.",,,,,
2011-12,Pranab Mukherjee,"Among the other steps that are being taken for the introduction of GST is the establishment of a strong IT infrastructure. We have made significant progress on the GST Network (GSTN).  The key business processes of registration, returns and payments are in advanced stages of finalisation. The National Securities Depository Limited (NSDL) has been selected as technology partner for incubating the National Information Utility that will establish and operate the IT backbone for GST. By June 2011, NSDL will set up a Pilot portal in collaboration with eleven States prior to its roll out across the country. ",,,,,
2011-12,Pranab Mukherjee,,,,,,
2011-12,Pranab Mukherjee,"The effective management of public expenditure is an integral part of the fiscal consolidation process. Expenditure has to be oriented towards the production of public goods and services. The extant classification of public expenditure between plan, non-plan, revenue and capital spending needs to be revisited. This is necessary as one recognises the importance of service sector and the knowledge economy for our development.  A Committee under Dr. C. Rangarajan has been set up by the Planning Commission to look into these issues. ",,,,,
2011-12,Pranab Mukherjee,,,,,,
2011-12,Pranab Mukherjee,"During the year 2010-11, the Nutrient Based Subsidy (NBS) policy was successfully implemented for all fertilisers except urea.  The policy has been well received by all stakeholders, and the availability of fertilisers has improved. The extension of the NBS regime to cover urea is under active consideration of the Government.",,,,,
2011-12,Pranab Mukherjee,"The Government provides subsidies, notably on fuel and food grains, to enable the common man to have access to these basic necessities at affordable prices. A significant proportion of subsidised fuel does not reach the targeted beneficiaries and there is large scale diversion of subsidised kerosene oil. A recent tragic event has highlighted this practice. We have deliberated for long the modalities of implementing such subsidies. The debate now has to make way for decision. To ensure greater efficiency, cost effectiveness and better delivery for both kerosene and fertilisers, the Government will move towards direct transfer of cash subsidy to people living below poverty line in a phased manner.",,,,,
2011-12,Pranab Mukherjee,"A task force headed by Shri Nandan Nilekani has been set-up to work out the modalities for the proposed system of direct transfer of subsidy for kerosene, LPG and fertilisers. The interim report of the task force is expected by June 2011. The system will be in place by March 2012.",,,,,
2011-12,Pranab Mukherjee,,,,,,
2011-12,Pranab Mukherjee,The Government's programme to broadbase the ownership of Central Public Sector Undertakings (CPSUs) has received an overwhelming response. The six public issues of CPSUs in the current financial year have attracted around 50 lakh retail investors. ,,,,,
2011-12,Pranab Mukherjee,"As against a target of `40,000 crore, the Government will raise about `22,144 crore from disinvestment in 2010-11. A higher than anticipated realisation in non-tax revenues has led us to reschedule some of the divestment issues planned for the current year.  I intend to maintain the momentum on disinvestment in",,,,,
2011-12,Pranab Mukherjee,"2011-12 by raising `40,000 crore. Let me reiterate here that the Government is committed to retain at least 51 per cent ownership and management control of the CPSUs, as stated earlier in my Budget speech for 2009-10.",,,,,
2011-12,Pranab Mukherjee,Investment Environment,,,,,
2011-12,Pranab Mukherjee,,,,,,
2011-12,Pranab Mukherjee,"To make the FDI policy more user-friendly, all prior regulations and guidelines have been consolidated into one comprehensive document, which is reviewed every six months. The last review has been released in September 2010. This has been done with the specific intent of enhancing clarity and predictability of our FDI policy to foreign investors. Discussions are underway to further liberalise the FDI policy.",,,,,
2011-12,Pranab Mukherjee,,,,,,
2011-12,Pranab Mukherjee,"Currently, only FIIs and sub-accounts registered with the SEBI and NRIs are allowed to invest in mutual fund schemes. To liberalise the portfolio investment route, it has been decided to permit SEBI registered Mutual Funds to accept subscriptions from foreign investors who meet the KYC requirements for equity schemes. This would enable Indian Mutual Funds to have direct access to foreign investors and widen the class of foreign investors in Indian equity market.",,,,,
2011-12,Pranab Mukherjee,"To enhance the flow of funds to the infrastructure sector, the FII limit for investment in corporate bonds, with residual maturity of over five years issued by companies in infrastructure sector, is being raised by an additional limit of US Dollar 20 billion taking the limit to US Dollar 25 billion. This will raise the total limit available to the FIIs for investment in corporate bonds to US Dollar 40 billion. Since most of the infrastructure companies are organised in the form of SPVs, FIIs would also be permitted to invest in unlisted bonds with a minimum lock-in period of three years. However, the FIIs will be allowed to trade amongst themselves during the lock-in period.",,,,,
2011-12,Pranab Mukherjee,,,,,,
2011-12,Pranab Mukherjee,"The financial sector reforms initiated during the early 1990s have borne good results for the Indian economy.  The UPA Government is committed to take this process further.  Accordingly, I propose to move the following legislations in the financial sector: ",,,,,
2011-12,Pranab Mukherjee,"The Insurance Laws (Amendment) Bill, 2008; ",,,,,
2011-12,Pranab Mukherjee,"The Life Insurance Corporation (Amendment) Bill, 2009; ",,,,,
2011-12,Pranab Mukherjee,"The revised Pension Fund Regulatory and Development Authority Bill, first introduced in 2005; ",,,,,
2011-12,Pranab Mukherjee,"Banking Laws Amendment Bill, 2011;",,,,,
2011-12,Pranab Mukherjee,Bill on Factoring and Assignment of Receivables; ,,,,,
2011-12,Pranab Mukherjee,"The State Bank of India (Subsidiary Banks Laws) Amendment Bill, 2009; and ",,,,,
2011-12,Pranab Mukherjee,Bill to amend RDBFI Act 1993 and SARFAESI Act 2002.,,,,,
2011-12,Pranab Mukherjee,"In my last Budget speech, I had announced that Reserve Bank of India would consider giving some additional banking licences to private sector players.  Accordingly, RBI issued a discussion paper in August, 2010, inviting feedback from the public. RBI has proposed some amendments in the Banking Regulation Act. I propose to bring suitable legislative amendments in this regard in this session. RBI is planning to issue the guidelines for banking licences before the close of this financial year.",,,,,
2011-12,Pranab Mukherjee,,,,,,
2011-12,Pranab Mukherjee,"During the year 2010-11, the Government is providing a sum of `20,157 crore for infusion in the Public Sector Banks to maintain Tier I Capital to Risk Weighted Asset Ratio (CRAR) at 8 per cent and increase government equity in some banks to 58 per cent.  I propose to provide a sum of `6,000 crore for the year 2011-12 to enable Public Sector Banks to maintain a minimum Tier I CRAR at 8 per cent.",,,,,
2011-12,Pranab Mukherjee,,,,,,
2011-12,Pranab Mukherjee,"As a part of financial strengthening of Regional Rural Banks, an amount of `350 crore was given to these banks during this year. I propose to provide `500 crore during 2011-12 to enable them maintain a CRAR of at least 9 per cent as on March 31, 2012.",,,,,
2011-12,Pranab Mukherjee,,,,,,
2011-12,Pranab Mukherjee,"The Micro Finance Institutions (MFIs) have emerged as an important means of financial inclusion.   Creation of a dedicated fund for providing equity to smaller MFIs would help them maintain growth and achieve scale and efficiency in operations. I propose to create in the course of the year, ""India Microfinance Equity Fund"" of `100 crore with SIDBI.  To empower women and promote their Self Help Groups (SHGs), I propose to create a “Women’s SHG’s Development Fund” with a corpus of `500 crore. The Committee set up by RBI to look into issues relating to micro finance sector in India has submitted its report. The Government is considering putting in place appropriate framework to protect the interests of small borrowers.",,,,,
2011-12,Pranab Mukherjee,,,,,,
2011-12,Pranab Mukherjee,"The Rural Infrastructure Development Fund (RIDF) is an important instrument for routing bank funds for financing rural infrastructure. This is popular among State Governments.  I propose to raise the corpus of RIDF XVII to `18,000 crore in 2011-12 from `16,000 crore in the current year. The additional allocation would be dedicated to creation of warehousing facilities.",,,,,
2011-12,Pranab Mukherjee,,,,,,
2011-12,Pranab Mukherjee,"Micro and Small enterprises play a crucial role in furthering the objective of equitable and inclusive growth. Last year, `4,000 crore was provided to SIDBI for refinancing incremental lending by banks to these enterprises.  For the year 2011-12, I propose to provide `5,000 crore to SIDBI for the same purpose out of the shortfall of banks on priority sector lending targets.",,,,,
2011-12,Pranab Mukherjee,"Handloom weavers have been facing economic stress. Consequently, many of them have not been able to repay debts to handloom weaver cooperative societies which have become financially unviable. I propose to provide `3,000 crore to NABARD, in phases for these cooperative societies. The initiative would benefit 15,000 cooperative societies and about 3 lakh handloom weavers. The details of the scheme would be worked out by the Ministry of Textiles in consultation with Planning Commission.",,,,,
2011-12,Pranab Mukherjee,I am happy to report that the outstanding loans to minority communities which stood at 13 per cent of total priority sector lending at the end of last year have increased to 13.6 per cent in the current year. I have directed the Public Sector Banks to achieve the target of 15 per cent at the earliest.,,,,,
2011-12,Pranab Mukherjee,,,,,,
2011-12,Pranab Mukherjee,"To further stimulate growth in housing sector, I am liberalising the existing scheme of interest subvention of 1 per cent on housing loans by extending it to housing loan upto `15 lakh where the cost of the house does not exceed `25 lakh from the present limit of `10 lakh and `20 lakh respectively. ",,,,,
2011-12,Pranab Mukherjee,"On account of increase in prices of residential properties in urban areas, I propose to enhance the existing housing loan limit from `20 lakh to `25 lakh for dwelling units under priority sector lending.",,,,,
2011-12,Pranab Mukherjee,"To provide housing finance to targeted groups in rural areas at competitive rates, I propose to enhance the provision under Rural Housing Fund to `3,000 crore from the existing `2,000 crore.",,,,,
2011-12,Pranab Mukherjee,"Credit enablement of Economically Weaker Sections (EWS) and LIG households is a serious challenge. To address this issue, I propose to create a Mortgage Risk Guarantee Fund under Rajiv Awas Yojana. This would guarantee housing loans taken by EWS and LIG households and enhance their credit worthiness.",,,,,
2011-12,Pranab Mukherjee,"To prevent frauds in loan cases involving multiple lending from different banks on the same immovable property, the Government has facilitated setting up of Central Electronic Registry under the SARFAESI Act, 2002. This Registry will become operational by March 31, 2011.",,,,,
2011-12,Pranab Mukherjee,,,,,,
2011-12,Pranab Mukherjee,"In pursuance of the announcement made in Budget 2010-11, the Government has set up a Financial Sector Legislative Reforms Commission under the Chair of Justice B. N. Srikrishna. It would rewrite and streamline the financial sector laws, rules and regulations and bring them in harmony with the requirements of a modern financial sector. The Commission will complete its work in 24 months. ",,,,,
2011-12,Pranab Mukherjee,The Companies Bill introduced in the Parliament in 2009 has been received from the Parliamentary Standing Committee. The proposed bill will be introduced in the Lok Sabha in the current session.,,,,,
2011-12,Pranab Mukherjee,,,,,,
2011-12,Pranab Mukherjee,Agriculture development is central to our growth strategy. Measures taken during the current year have started attracting private investment in agriculture and agro-processing activities. This process has to be deepened further.,,,,,
2011-12,Pranab Mukherjee,"In the Budget for 2010-11, I had delineated a four-pronged strategy covering agricultural production, reduction in wastage of produce, credit support to farmers and a thrust to the food processing sector.  These initiatives have started showing results but there are other issues in our food economy that require attention. The recent spurt in food prices was driven by increase in the prices of items like fruits and vegetables, milk, meat, poultry and fish, which account for more than 70 per cent of the WPI basket for primary food items.  Removal of production and distribution bottlenecks for these items will be the focus of my attention this year. I propose to make allocations for these schemes under the ongoing Rashtriya Krishi Vikas Yojana (RKVY) for an early take off. The total allocation of RKVY is being increased from `6,755 crore in 2010-11 to `7,860 crore in 2011-12.",,,,,
2011-12,Pranab Mukherjee,,,,,,
2011-12,Pranab Mukherjee,"The Green Revolution in Eastern Region is waiting to happen. To realize the potential of the region, last year's initiative will be continued in 2011-12 with a further allocation of `400 crore. The program would target the improvement in the rice based cropping system of Assam, West Bengal, Orissa, Bihar, Jharkhand, Eastern Uttar Pradesh and Chhattisgarh. ",,,,,
2011-12,Pranab Mukherjee,"Integrated Development of 60,000 pulses villages in rainfed areas",,,,,
2011-12,Pranab Mukherjee,"Government's initiative on pulses has received a positive response from the farmers. As per the second advance estimates, a record production of 165 lakh tonnes of pulses is expected this year as against 147 lakh tonnes last year. While consolidating these gains, we must strive to attain self-sufficiency in production of pulses within next three years. I propose to provide an amount of `300 crore to promote 60,000 pulses villages in rainfed areas for increasing crop productivity and strengthening market linkages.",,,,,
2011-12,Pranab Mukherjee,,,,,,
2011-12,Pranab Mukherjee,"The domestic production of edible oil meets only about 50 per cent demand. The gap in supply is met through imports, which are often at high prices due to the quantum of our requirement. Our recent interventions and good rains are expected to result in a higher oilseeds production of 278 lakh tonnes in 2010-11 as against 249 lakh tonnes in 2009-10. To achieve a major breakthrough, we have to pay special attention to oil palm as it is one of the most efficient oil crops. I propose to provide an amount of `300 crore to bring 60,000 hectares under oil palm plantation, by integrating the farmers with the markets. The initiative will yield about 3 lakh metric tonnes of palm oil annually in 5 years. ",,,,,
2011-12,Pranab Mukherjee,,,,,,
2011-12,Pranab Mukherjee,"The growing demand for vegetables has to be met by a robust increase in the productivity and market linkage. An efficient supply chain, to provide quality vegetables at competitive prices will have to be established. I propose to provide an amount of `300 crore for implementation of vegetable initiative to set in motion a virtuous cycle of higher production and incomes for the farmers. To begin with, this programme will be launched near major urban centres.",,,,,
2011-12,Pranab Mukherjee,,,,,,
2011-12,Pranab Mukherjee,"While we ensure food for all, we must also promote balanced nutrition. Bajra, jowar, ragi and other millets are highly nutritious and are known to possess several medicinal properties. The availability and consumption of these Nutri-cereals is, however, low and has been steadily declining over recent years.  A provision of `300 crore is being made to promote higher production of these cereals, upgrade their processing technologies and create awareness regarding their health benefits. This initiative would provide market linked production support to ten lakh millet farmers in the arid and semi-arid regions of the country. The programme would be taken up in 1000 compact blocks covering about 25,000 villages.  This will help improve nutritional security and increase feed and fodder supply for livestock. ",,,,,
2011-12,Pranab Mukherjee,,,,,,
2011-12,Pranab Mukherjee,"The consumption of foods rich in animal protein and other nutrients has risen of late, with demand growing faster than production. The National Mission for Protein Supplements is being launched in 2011-12 with an allocation of `300 crore. It will take up activities to promote animal based protein production through livestock development, dairy farming, piggery, goat rearing and fisheries in selected blocks. ",,,,,
2011-12,Pranab Mukherjee,,,,,,
2011-12,Pranab Mukherjee,"Adequate availability of fodder is essential for sustained production of milk. It is necessary to accelerate the production of fodder through intensive promotion of technologies to ensure its availability throughout the year. I propose to provide `300 crore for Accelerated Fodder Development Programme which will benefit farmers in 25,000 villages. ",,,,,
2011-12,Pranab Mukherjee,"Hon'ble Members may be curious as to why all these new initiatives are being launched with an allocation of `300 crore. Well, the number 3 happens to be my lucky number !",,,,,
2011-12,Pranab Mukherjee,,,,,,
2011-12,Pranab Mukherjee,"While the need to maximize crop yields to meet the growing demand for food grains is critical, we have to sustain agricultural productivity in the long run. There has been deterioration in soil health due to removal of crop residues and indiscriminate use of chemical fertilizers, aided by distorted prices. ",,,,,
2011-12,Pranab Mukherjee,"To address these issues, the Government proposes to promote organic farming methods, combining modern technology with traditional farming practices like green manuring, biological pest control and weed management.",,,,,
2011-12,Pranab Mukherjee,,,,,,
2011-12,Pranab Mukherjee,"To get the best from their land, farmers need access to affordable credit. Banks have been consistently meeting the targets set for agriculture credit flow in the past few years.  For the year 2011-12, I am raising the target of credit flow to the farmers from `3,75,000 crore this year to `4,75,000 crore in 2011-12.  Banks have been asked to step up direct lending for agriculture and credit to small and marginal farmers. ",,,,,
2011-12,Pranab Mukherjee,"The existing interest subvention scheme of providing short term crop loans to farmers at 7 per cent interest will be continued during 2011-12.  In the last budget, I had provided an additional 2 per cent interest subvention to those farmers who repay their crop loans on time. The response to this scheme has been good. In order to provide further incentive to these farmers, I propose to enhance the additional subvention to 3 per cent in 2011-12.  Thus, the effective rate of interest for such farmers will be 4 per cent per annum.  ",,,,,
2011-12,Pranab Mukherjee,"In view of the enhanced target for flow of agriculture credit, I propose to strengthen NABARD's capital base by infusing `3000 crore, in a phased manner, as Government equity.  This would raise its paid-up capital to `5,000 crore. To enable NABARD refinance the short-term crop loans of the cooperative credit institutions and RRBs at concessional rates, I propose a contribution of `10,000 crore to NABARD’s Short-term Rural Credit Fund for 2011-12 from the shortfall in priority sector lending by Scheduled Commercial Banks.",,,,,
2011-12,Pranab Mukherjee,,,,,,
2011-12,Pranab Mukherjee,"Despite growing production of vegetables and fruits, their availability is inadequate due to bottlenecks in retailing capacity. An estimated 40 per cent of the fruit and vegetable production in India goes waste due to lack of storage, cold chain and transport infrastructure. To address these issues, the Eleventh Plan target for number of Mega Food Parks was set at 30. So far, 15 such parks have been sanctioned. During 2011-12, approval is being given to set up 15 more Mega Food Parks.",,,,,
2011-12,Pranab Mukherjee,,,,,,
2011-12,Pranab Mukherjee,"The years 2008 to 2010 saw very high levels of foodgrain procurement. On January 1, 2011, the foodgrain stock in Central pool reached 470 lakh metric tonnes, 2.7 times higher than 174 lakh metric tonnes on January 1, 2007. The storage capacity for such large quantities requires augmentation. Process to create new storage capacity of 150 lakh metric tonnes through private entrepreneurs and warehousing corporations has been fast tracked. Decision to create 20 lakh metric tonnes of storage capacity under Public Entrepreneurs Guarantee (PEG) Scheme through modern silos has been taken. While we will be able to add about 2.6 lakh tonnes of capacity by March 2011, based on existing sanctions, the addition will reach 40 lakh tonnes by March 2012. During 2010-11, another 24 lakh metric tonnes of storage capacity has been created under the Rural Godown Scheme.",,,,,
2011-12,Pranab Mukherjee,"Investment in cold storage projects is now gaining momentum.  During this year, 24 cold storage projects with a capacity of 1.4 lakh metric tonnes have been sanctioned under National Horticulture Mission. In addition, 107 cold storage projects with a capacity of over 5 lakh metric tonnes have been approved by the National Horticulture Board. ",,,,,
2011-12,Pranab Mukherjee,"To attract investment in this sector, henceforth, capital investment in the creation of modern storage capacity will be eligible for viability gap funding scheme of the Finance Ministry. It is also proposed to recognize cold chains and post-harvest storage as an infrastructure sub-sector.",,,,,
2011-12,Pranab Mukherjee,,,,,,
2011-12,Pranab Mukherjee,The recent episode of inflation in vegetables and fruits has exposed serious flaws in our supply chains. The government regulated mandis sometimes prevent retailers from integrating their enterprises with the farmers. There is need for the State Governments to review and enforce a reformed Agriculture Produce Marketing Act urgently. ,,,,,
2011-12,Pranab Mukherjee,,,,,,
2011-12,Pranab Mukherjee,"Infrastructure is critical for our development. For 2011-12, an allocation of over ` 2,14,000 crore is being made for this sector, which is 23.3 per cent higher than current year. This amounts to 48.5 per cent of the Gross Budgetary Support to plan expenditure. ",,,,,
2011-12,Pranab Mukherjee,"Our experience with PPP model for creation of public sector assets in the country has been good. We have recently launched the National Capacity Building Programme to enhance capacities of public functionaries in identifying, conceptualising, structuring and managing PPPs. It is our endeavour to come up with a comprehensive policy that can be used by the Centre and the State Governments in further developing public-private partnerships. ",,,,,
2011-12,Pranab Mukherjee,"Government established India Infrastructure Finance Company Limited (IIFCL) to provide long term financial assistance to infrastructure projects. It is expected to achieve a cumulative disbursement target of `20,000 crore by March 31, 2011 and `25,000 crore by March 31, 2012. The take out financing scheme announced in the Budget 2009-10 has been implemented and seven projects have been sanctioned with a debt of `1,500 crore. Another `5,000 crore will be sanctioned during 2011-12.",,,,,
2011-12,Pranab Mukherjee,"In order to give a boost to infrastructure development in railways, ports, housing and highways development, I propose to allow tax free bonds of `30,000 crore to be issued by various Government undertakings in the year 2011-12. This includes Indian Railway Finance Corporation `10,000 crore, National Highway Authority of India `10,000 crore, HUDCO `5,000 crore and Ports `5,000 crore.",,,,,
2011-12,Pranab Mukherjee,"To attract foreign funds for the infrastructure financing, I propose to create Special Vehicles in the form of notified infrastructure debt funds. I will come to the details in Part B of my speech.",,,,,
2011-12,Pranab Mukherjee,,,,,,
2011-12,Pranab Mukherjee,"For sustained growth of GDP and productive employment for younger generation, it is imperative that the growth in manufacturing sector picks up. We expect to take the share of manufacturing in GDP from about 16 per cent to 25 per cent over a period of ten years. Government will come out with a manufacturing policy, which will bring down the compliance burden on the industry through self-regulation and help make Indian industry globally competitive. ",,,,,
2011-12,Pranab Mukherjee,"To address the need for greater transparency and accountability in procurement policy and allocation, pricing and utilisation of natural resources, the Government has set up two committees. The recommendations will be available within three months.",,,,,
2011-12,Pranab Mukherjee,"A Group of Ministers has been set up to consider all issues relating to reconciliation of environmental concerns emanating from various departmental activities including those related to infrastructure and mining. This Group will also suggest changes in the existing statutes, rules, regulations and guidelines and make its recommendations in a time bound manner.",,,,,
2011-12,Pranab Mukherjee,"The Indian automobile market is the second fastest growing in the world and has shown nearly 30 per cent growth this year.  World over, substantial investments are being made in the field of hybrid and electric mobility.  To provide green and clean transportation for the masses, National Mission for Hybrid and Electric Vehicles will be launched in collaboration with all stakeholders.",,,,,
2011-12,Pranab Mukherjee,"The funding of 15,260 modern low floor and semi-low floor buses under JNNURM, besides adding to passenger comfort, has transformed the urban transport across India. In 2011-12, Delhi Metro Phase-III and Mumbai Metro Line III are proposed to be taken up. The ongoing Metro projects of Bengaluru, Kolkata and Chennai will be provided financial assistance for speedy implementation.",,,,,
2011-12,Pranab Mukherjee,Investment in fertilizer sector is capital intensive and is considered high risk. It is proposed to include capital investment in fertiliser production as an infrastructure sub-sector. ,,,,,
2011-12,Pranab Mukherjee,,,,,,
2011-12,Pranab Mukherjee,"The Task Force on Transactions Cost set up by the Department of Commerce to identify and suggest ways to achieve improvement in efficiency of our export processes, has completed its work. Twenty one suggestions made by the Task Force have already been implemented. Action on remaining two will be taken in next few months. This will mitigate transactions cost by about `2,100 crore.",,,,,
2011-12,Pranab Mukherjee,"To quicken the clearance of the cargo by Customs authorities and further modernise the Customs administration, I propose to introduce self-assessment in Customs.  Under this, importers and exporters will themselves assess their duty liabilities while filing their declarations in the EDI system.  The Department will verify such assessments on a selective system driven basis. ",,,,,
2011-12,Pranab Mukherjee,There have been considerable difficulties in the sanction of refunds relating to tax paid on services used for export of goods.  I propose to shortly introduce a scheme for the refund of these taxes on the lines of drawback of duties in a far more simplified and expeditious manner.  A new scheme is also being introduced by which units in SEZs will be able to obtain tax-free receipt of services wholly consumed within the zone and get their refunds in a much easier manner.,,,,,
2011-12,Pranab Mukherjee,Mega clusters have large employment and export potential. I propose to extend the Mega Cluster Scheme for development of leather products. Seven mega leather clusters would be set up during the year 2011-12. I also propose to include Jodhpur for the development of a handicraft mega cluster. ,,,,,
2011-12,Pranab Mukherjee,,,,,,
2011-12,Pranab Mukherjee,"The generation and circulation of black money is an area of serious concern. To deal with this problem effectively, Government has put into operation a five-fold strategy which consists of Joining the global crusade against 'black money'; Creating an appropriate legislative framework; Setting up institutions for dealing with illicit funds; Developing systems for implementation; and Imparting skills to the manpower for effective action.",,,,,
2011-12,Pranab Mukherjee,"We secured Membership of the Financial Action Task Force (FATF) in June last year. This is an important initiative of G-20 for anti-money laundering. We have also joined the Task Force on Financial Integrity and Economic Development, Eurasian Group (EAG) and Global Forum on Transparency and Exchange of Information for Tax Purposes.",,,,,
2011-12,Pranab Mukherjee,"During the year, we have concluded discussions for 11 Tax Information Exchange Agreements (TIEAs) and 13 new Double Taxation Avoidance Agreements (DTAAs) along with revision of provisions of 10 existing DTAAs. To effectively handle the increase in tax information exchange and transfer pricing issues, Foreign Tax Division of CBDT has been strengthened. A dedicated Cell for exchange of information is being set up to work on this agenda. ",,,,,
2011-12,Pranab Mukherjee,The amendment in our Money Laundering Legislation in 2009 has significantly increased its scope and application. The number of cases registered under this law has increased from 50 between 2005 to 2008 to over 1200 by January this year. The strength of the Enforcement Directorate has been increased three-fold to deal effectively with the increased workload. ,,,,,
2011-12,Pranab Mukherjee,The Ministry of Finance has commissioned a study on unaccounted income and wealth held within and outside our country. It would suggest methods to tax and repatriate this illicit money.,,,,,
2011-12,Pranab Mukherjee,"Trafficking in narcotic drugs is also a contributor to the generation of black money. To strengthen controls over prevention of trafficking and improve the management of narcotic drugs and psychotropic substances, I propose to announce a comprehensive national policy in the near future.",,,,,
2011-12,Pranab Mukherjee,,,,,,
2011-12,Pranab Mukherjee,"The UPA Government has engineered a major directional change in public policy by its focus on inclusive development. Creation of legal entitlements for an individual's right to work has added to resilience and dynamism in our rural economy. The right to information and the right to education are effective tools of empowerment for removing social imbalances.  The country has carried for long enough the burden of hunger and malnutrition. After detailed consultations with all stakeholders including State Governments, we are close to the finalisation of National Food Security Bill (NFSB) which will be introduced in the Parliament during the course of this year. The proposed allocation of ` 1,60,887 crore for social sector in 2011-12 is an increase of 17 per cent over current year. It amounts to 36.4 per cent of the total plan allocation.",,,,,
2011-12,Pranab Mukherjee,,,,,,
2011-12,Pranab Mukherjee,"The UPA Government's flagship programmes have been the principal instrument for implementing its agenda for inclusive development. For the year 2011-12, Bharat Nirman, which includes Pradhan Mantri Gram Sadak Yojna (PMGSY), Accelerated Irrigation Benefit Programme, Rajiv Gandhi Grameen Vidyutikaran Yojna, Indira Awas Yojna, National Rural Drinking Water Programme and Rural telephony have together been allocated `58,000 crore. This is an increase of `10,000 crore from the current year. A plan has been finalised to provide Rural Broadband Connectivity to all 2,50,000 Panchayats in the country in three years. ",,,,,
2011-12,Pranab Mukherjee,,,,,,
2011-12,Pranab Mukherjee,"In pursuance of my earlier budget announcement to provide a real wage of `100 per day, the Government has decided to index the wage rates notified under the MGNREGA to the Consumer Price Index for Agricultural Labour. The enhanced wage rates have been notified by the Ministry of Rural Development on January 14, 2011. It has resulted in significant enhancement of wages for the beneficiaries across the country.",,,,,
2011-12,Pranab Mukherjee,"The Anganwadi workers and Anganwadi helpers are the backbone of Integrated Child Development Services Scheme.  I am happy to announce an increase in the remuneration of Anganwadi workers from `1,500 per month to `3,000 per month and for Anganwadi helpers from `750 per month to `1,500 per month.  This will be effective from April 1, 2011. Around 22 lakh Anganwadi workers and helpers will benefit from the increase.",,,,,
2011-12,Pranab Mukherjee,,,,,,
2011-12,Pranab Mukherjee,"In the Budget for 2011-12, for the first time, specific allocations are being earmarked towards Scheduled Castes Sub-plan and Tribal Sub-plan.  These will be shown in the Budget of the relevant Ministries and Departments under separate minor heads of account. Further, I propose to increase the Budget allocation for primitive tribal groups from `185 crore in 2010-11 to `244 crore in 2011-12.",,,,,
2011-12,Pranab Mukherjee,,,,,,
2011-12,Pranab Mukherjee,"Our “demographic dividend” of a relatively younger population compared to developed countries is as much of an opportunity as it is a challenge. Over 70 per cent of Indians will be of working age in 2025. In this context, universalising access to secondary education, increasing the percentage of our scholars in higher education and providing skill training is necessary. For education, I propose an allocation of ` 52,057 crore, which is an increase of 24 per cent over the current year.",,,,,
2011-12,Pranab Mukherjee,,,,,,
2011-12,Pranab Mukherjee,"The existing operational norms of Sarva Shiksha Abhiyan have been revised to implement the right of children to free and compulsory education which has come into force with effect from April 1, 2010. For the year 2011-12, I propose to allocate `21,000 crore which is 40 per cent higher than `15,000 crore allocated in the Budget for 2010-11. A revised Centrally Sponsored Scheme “Vocationalisation of Secondary Education” will be implemented from 2011-12 to improve the employability of our youth.",,,,,
2011-12,Pranab Mukherjee,"Empowerment flows from Education. While the Scheduled Castes and Scheduled Tribes had access to post matric scholarships, there was so far a lack of pre matric scholarship scheme. In 2011-12, I propose to introduce a scholarship scheme for needy students belonging to the Scheduled Castes and Scheduled Tribes studying in classes ninth and tenth. It would benefit about 40 lakh Scheduled Caste and Scheduled Tribe students.",,,,,
2011-12,Pranab Mukherjee,,,,,,
2011-12,Pranab Mukherjee,"Approved in March 2010, the National Knowledge Network (NKN) will link 1500 Institutes of Higher Learning and Research through an optical fibre backbone. During the current year, 190 Institutes will be connected to NKN. Since the core will be ready by March 2011, the connectivity to all 1500 institutions will be provided by March 2012.",,,,,
2011-12,Pranab Mukherjee,,,,,,
2011-12,Pranab Mukherjee,"To move beyond the formal R&D paradigm, a National Innovation Council under Shri Sam Pitroda has been set up to prepare a roadmap for innovations in India. The process of setting up State Innovation Councils in each State and Sectoral Innovation Councils aligned to Central Ministries is underway.",,,,,
2011-12,Pranab Mukherjee,"The Government has been providing special grants to recognise excellence in universities and academic institutions. In the course of 2011-12, I propose to provide: ",,,,,
2011-12,Pranab Mukherjee,`50 crore each to upcoming centres of Aligarh Muslim University at Murshidabad in West Bengal and Malappuram in Kerala;,,,,,
2011-12,Pranab Mukherjee,"`100 crore as one-time grant to the Kerala Veterinary and Animal Sciences University at Pookode, Kerala; ",,,,,
2011-12,Pranab Mukherjee,"`10 crore each for setting up Kolkata and Allahabad Centres of Mahatma Gandhi Antarrashtriya Hindi Vishwavidyalaya, Wardha;",,,,,
2011-12,Pranab Mukherjee,"`200 crore as one time grant to IIT, Kharagpur; ",,,,,
2011-12,Pranab Mukherjee,"`20 crore for Rajiv Gandhi National Institute of Youth Development, Sriperumbudur, Tamil Nadu",,,,,
